ITEM;UNIDAD MINERA;FECHA;FLASH REPORT;INVESTIGACIÓN;SAC/SAP;ANEXO 05;CLASIFICACIÓN;REAL;POTENCIAL;
1;RAURA;21/01/2014;NO;SÍ;SÍ;SÍ;EAP;3;6;
2;RAURA;6/02/2014;SÍ;NO;SÍ;SÍ;EAP;4;6;
3;RAURA;8/02/2014;SÍ;NO;SÍ;SÍ;EAP;5;6;
4;RAURA;7/03/2014;NO;SÍ;NO;SÍ;EAP;1;6;
5;RAURA;17/03/2014;NO;SÍ;NO;SÍ;EAP;0;6;
6;RAURA;29/03/2014;SÍ;NO;NO;SÍ;EAP;1;5;
7;RAURA;19/04/2014;NO;SÍ;NO;SÍ;EAP;1;6;
8;RAURA;22/04/2014;NO;SÍ;NO;SÍ;EAP;0;5;
9;RAURA;7/05/2014;SÍ;NO;SÍ;NO;EAP;4;5;
10;RAURA;5/06/2014;SÍ;NO;SÍ;NO;EAP;1;5;
11;RAURA;14/06/2014;SÍ;NO;NO;NO;EAP;2;5;
12;RAURA;16/06/2014;NO;NO;SÍ;NO;EAP;3;5;
13;RAURA;23/06/2014;NO;SÍ;NO;SÍ;EAP;0;6;
14;RAURA;13/07/2014;SÍ;NO;NO;SÍ;EAP;0;6;
15;RAURA;24/07/2014;SÍ;NO;NO;SÍ;EAP;1;5;
16;RAURA;1/08/2014;NO;SÍ;NO;SÍ;EAP;1;5;
17;RAURA;13/08/2014;SÍ;NO;SÍ;NO;EAP;0;6;
18;RAURA;23/08/2014;NO;SÍ;SÍ;NO;EAP;3;5;
19;RAURA;2/09/2014;NO;SÍ;NO;SÍ;EAP;3;5;
20;RAURA;8/09/2014;NO;SÍ;SÍ;NO;EAP;1;5;
21;RAURA;12/09/2014;NO;SÍ;SÍ;NO;EAP;2;5;
22;RAURA;15/09/2014;NO;SÍ;SÍ;NO;EAP;3;5;
23;RAURA;22/09/2014;SÍ;NO;SÍ;NO;EAP;1;5;
24;RAURA;9/10/2014;NO;SÍ;SÍ;NO;EAP;3;5;
25;RAURA;14/10/2014;NO;SÍ;SÍ;NO;EAP;2;5;
26;RAURA;7/11/2014;NO;SÍ;SÍ;NO;EAP;2;6;
27;RAURA;12/11/2014;NO;SÍ;SÍ;NO;EAP;0;6;
28;RAURA;24/11/2014;NO;SÍ;SÍ;NO;EAP;1;5;
29;RAURA;25/11/2014;NO;SÍ;SÍ;NO;EAP;0;6;
30;RAURA;26/11/2014;NO;SÍ;SÍ;NO;EAP;2;5;
31;RAURA;1/12/2014;NO;SÍ;SÍ;NO;EAP;0;5;
32;RAURA;5/12/2014;SÍ;NO;SÍ;NO;EAP;0;6;
33;RAURA;12/12/2014;SÍ;NO;SÍ;NO;EAP;0;5;
34;RAURA;13/12/2014;NO;NO;SÍ;NO;EAP;1;5;
35;RAURA;13/12/2014;SÍ;NO;SÍ;NO;EAP;0;5;
36;RAURA;8/01/2015;NO;SÍ;SÍ;NO;EAP;2;6;
37;RAURA;13/01/2015;NO;SÍ;SÍ;NO;EAP;6;6;
38;RAURA;2/02/2015;NO;SÍ;SÍ;NO;EAP;4;5;
39;RAURA;28/02/2015;NO;SÍ;SÍ;NO;EAP;4;5;
40;RAURA;3/03/2015;SÍ;NO;SÍ;NO;EAP;4;6;
41;RAURA;15/04/2015;SÍ;NO;SÍ;NO;EAP;1;6;
42;RAURA;21/04/2015;NO;SÍ;SÍ;NO;EAP;1;5;
43;RAURA;12/05/2015;NO;SÍ;SÍ;NO;EAP;0;6;
44;RAURA;21/05/2015;NO;SÍ;SÍ;NO;EAP;0;6;
45;RAURA;22/05/2015;NO;SÍ;SÍ;NO;EAP;4;6;
46;RAURA;30/05/2015;SÍ;NO;SÍ;NO;EAP;0;6;
47;RAURA;24/06/2015;SÍ;NO;SÍ;NO;EAP;3;6;
48;RAURA;29/06/2015;NO;SÍ;SÍ;NO;EAP;5;6;
49;RAURA;28/07/2015;SÍ;NO;SÍ;NO;EAP;1;5;
50;RAURA;20/08/2015;SÍ;NO;SÍ;NO;EAP;1;6;
51;RAURA;10/09/2015;SÍ;NO;SÍ;NO;EAP;3;5;
52;RAURA;16/09/2015;SÍ;NO;SÍ;NO;EAP;0;6;
53;RAURA;1/10/2015;SÍ;NO;SÍ;NO;EAP;3;5;
54;RAURA;11/10/2015;SÍ;NO;SÍ;NO;EAP;0;6;
55;RAURA;11/10/2015;SÍ;NO;SÍ;NO;EAP;0;6;
56;RAURA;14/10/2015;SÍ;NO;SÍ;NO;EAP;0;5;
57;RAURA;12/11/2015;SÍ;NO;SÍ;NO;EAP;0;6;
58;RAURA;15/11/2015;SÍ;NO;SÍ;NO;EAP;0;6;
59;RAURA;16/11/2015;SÍ;NO;SÍ;NO;EAP;1;5;
60;RAURA;19/11/2015;SÍ;NO;SÍ;NO;EAP;2;5;
61;RAURA;19/11/2015;SÍ;NO;SÍ;NO;EAP;2;6;
62;RAURA;25/11/2015;SÍ;NO;SÍ;NO;EAP;0;6;
63;RAURA;2/12/2015;SÍ;NO;SÍ;NO;EAP;0;6;
64;RAURA;15/12/2015;SÍ;NO;SÍ;NO;EAP;1;6;
65;RAURA;18/12/2015;SÍ;NO;SÍ;NO;EAP;4;5;
66;RAURA;26/12/2015;SÍ;NO;SÍ;NO;EAP;0;6;
67;RAURA;7/01/2016;SÍ;NO;SÍ;NO;EAP;0;6;
68;RAURA;5/02/2016;SÍ;NO;NO;SÍ;EAP;0;6;
69;RAURA;8/02/2016;SÍ;NO;SÍ;NO;EAP;0;5;
70;RAURA;16/03/2016;SÍ;NO;SÍ;NO;EAP;0;6;
71;RAURA;6/06/2016;SÍ;NO;NO;SÍ;EAP;0;5;
72;RAURA;2/07/2016;SÍ;NO;NO;SÍ;EAP;0;5;
73;RAURA;9/07/2016;SÍ;NO;SÍ;NO;EAP;0;5;
74;RAURA;11/09/2016;SÍ;NO;NO;SÍ;EAP;0;5;
75;RAURA;29/09/2016;SÍ;NO;NO;SÍ;EAP;0;6;
76;RAURA;10/10/2016;SÍ;NO;SÍ;NO;EAP;0;6;
77;RAURA;13/10/2016;SÍ;NO;SÍ;NO;EAP;0;5;
78;RAURA;6/11/2016;SÍ;NO;SÍ;NO;EAP;3;5;
79;RAURA;14/11/2016;SÍ;NO;NO;NO;EAP;1;5;
80;RAURA;29/12/2016;SÍ;NO;NO;SÍ;EAP;1;6;
81;RAURA;22/01/2017;SÍ;NO;SÍ;NO;EAP;0;6;
82;RAURA;31/01/2017;SÍ;NO;SÍ;NO;EAP;0;5;
83;RAURA;8/05/2017;SÍ;NO;NO;SÍ;EAP;0;6;
84;RAURA;22/05/2017;SÍ;NO;SÍ;NO;EAP;4;6;
85;RAURA;9/07/2017;SÍ;NO;NO;SÍ;EAP;3;5;
86;RAURA;15/10/2017;SÍ;NO;NO;SÍ;EAP;1;6;
87;RAURA;29/10/2017;SÍ;NO;NO;SÍ;EAP;0;5;
88;RAURA;21/11/2017;SÍ;NO;NO;SÍ;EAP;0;5;
89;RAURA;22/11/2017;SÍ;NO;NO;SÍ;EAP;1;5;
90;RAURA;19/01/2018;SÍ;NO;SÍ;NO;EAP;0;5;
91;RAURA;21/04/2018;SÍ;NO;NO;SÍ;EAP;4;5;
92;RAURA;7/09/2018;SÍ;NO;SÍ;SÍ;EAP;0;5;
93;RAURA;19/09/2018;SÍ;NO;SÍ;SÍ;EAP;0;5;
94;RAURA;28/09/2018;SÍ;NO;SÍ;SÍ;EAP;0;5;
95;RAURA;14/10/2018;SÍ;NO;NO;SÍ;EAP;0;6;
96;RAURA;2/11/2018;SÍ;NO;NO;SÍ;EAP;0;5;
97;RAURA;30/11/2018;SÍ;NO;NO;SÍ;EAP;0;5;
98;RAURA;11/12/2018;SÍ;NO;NO;SÍ;EAP;2;5;
99;RAURA;30/12/2018;SÍ;NO;NO;SÍ;EAP;4;5;
100;RAURA;28/01/2019;SÍ;NO;SÍ;SÍ;EAP;0;6;
101;RAURA;25/02/2019;SÍ;NO;SÍ;SÍ;EAP;0;6;
102;RAURA;7/03/2019;SÍ;SÍ;SÍ;SÍ;EAP;0;5;
103;RAURA;12/03/2019;SÍ;SÍ;SÍ;SÍ;EAP;0;6;
104;RAURA;12/05/2019;SÍ;SÍ;SÍ;SÍ;EAP;0;5;
105;RAURA;10/07/2019;SÍ;SÍ;SÍ;SÍ;EAP;4;V;
106;RAURA;28/07/2019;SÍ;SÍ;SÍ;SÍ;EAP;4;V;
107;RAURA;2/09/2019;SÍ;SÍ;SÍ;SÍ;EAP;0;V;
108;RAURA;26/12/2019;SÍ;SÍ;SÍ;SÍ;EAP;0;V;
